ImageId,ClassName
d8ceb80e76.jpg,bread-wholemeal
d4bc0efe2a.jpg,bread-white
8b59d09b3c.jpg,tea-green
2b567dd55c.jpg,broccoli
5469a7a9c1.jpg,bread-white
c6b3ee3852.jpg,pickle
d137b1397e.jpg,water
b604c74a65.jpg,salami
45d9925cb6.jpg,hard-cheese
f5a776d1fb.jpg,water
3f7e5ed3a9.jpg,bread-white
22b0b427c4.jpg,rice
714f7d277d.jpg,jam
629b158a06.jpg,french-beans
420124c5a1.jpg,water
ead6671883.jpg,hard-cheese
232c292414.jpg,hard-cheese
6ab88a0815.jpg,mixed-salad-chopped-without-sauce
d91b88bd51.jpg,salad-leaf-salad-green
66725e2630.jpg,wine-red
5b482149d8.jpg,bread-white
f3bbb57269.jpg,parmesan
d935e45b3c.jpg,apple
7628934bef.jpg,potatoes-steamed
4b18d8872d.jpg,cheese
6d27cfa738.jpg,tomato
da28b66578.jpg,banana
b937fd5473.jpg,mandarine
ec2bca27cc.jpg,water
fc84f1439c.jpg,coffee-with-caffeine
20c5b49fe9.jpg,bread-white
a96eeb447a.jpg,tea
4eb5229a5b.jpg,egg
35d80df877.jpg,wine-white
21387cb051.jpg,coffee-with-caffeine
6a3734eb47.jpg,water
a069ac6b33.jpg,bread-whole-wheat
5e3b2c435b.jpg,butter
2d07b19ff3.jpg,butter
6b74b7a05a.jpg,broccoli
3ec89f3a0e.jpg,coffee-with-caffeine
278813ff91.jpg,apple
a15a6323f1.jpg,parmesan
684a7b08ae.jpg,bread-french-white-flour
4e121c15f1.jpg,wine-red
a51122d2d7.jpg,coffee-with-caffeine
5dfb1270b5.jpg,bread-wholemeal
dd3b8c39ad.jpg,water
d59d794bce.jpg,mixed-nuts
b862204a2b.jpg,wine-red
594d7ccce7.jpg,bread-white
0ff5dae137.jpg,potatoes-steamed
2b90b6dca9.jpg,leaf-spinach
2711c45d7f.jpg,salad-leaf-salad-green
020892449b.jpg,water
e9a1ef7b9b.jpg,water
c1a4f87fc5.jpg,honey
a4b7113586.jpg,mixed-salad-chopped-without-sauce
ff7736b46f.jpg,espresso-with-caffeine
41758053b9.jpg,water
c63b3471c9.jpg,espresso-with-caffeine
0b2b6736dd.jpg,carrot
3f2c23ea59.jpg,cheese
494ea30906.jpg,tomato
dda25adaa3.jpg,almonds
d4904e01c8.jpg,mixed-vegetables
44bbf18aa4.jpg,butter
9a84dc77ca.jpg,leaf-spinach
a871ec10fa.jpg,salad-leaf-salad-green
5c72aa2048.jpg,leaf-spinach
629d638187.jpg,egg
b514341c83.jpg,bread-white
bd7e998510.jpg,wine-red
4059c2ca1f.jpg,butter
349cb7ea84.jpg,butter
797fdfc621.jpg,bread-sourdough
463d0ad24e.jpg,salad-leaf-salad-green
76d47a94a8.jpg,butter
172d7c9c12.jpg,bread-wholemeal
e44697190d.jpg,tomato
eabc3dfe98.jpg,carrot
2c0b630896.jpg,gruyere
c059116228.jpg,tea-green
74b071fba8.jpg,water
fac20dbd07.jpg,banana
d410e73f39.jpg,butter
4d70d90969.jpg,salad-leaf-salad-green
79e9c16ec0.jpg,zucchini
3018ffd90b.jpg,chips-french-fries
4b7cca1b95.jpg,rice
8b3fd028e9.jpg,coffee-with-caffeine
c20eea18f7.jpg,white-coffee-with-caffeine
887a4c52dd.jpg,honey
d6f65bbb7d.jpg,pizza-margherita-baked
a1ab7bc8a2.jpg,wine-red
ede6eba02e.jpg,salad-leaf-salad-green
ebfe6b53f8.jpg,mixed-vegetables
f88dbd790c.jpg,tea
cbf262c516.jpg,biscuits
8dfd82e74d.jpg,chips-french-fries
47cf762d9b.jpg,avocado
9c765a4b3e.jpg,bread-french-white-flour
f88a85d467.jpg,carrot
aed3119a37.jpg,water
63e2d0d2e0.jpg,bread-white
3299821cc6.jpg,cucumber
1ff6294a2a.jpg,butter
b7010335dd.jpg,pasta-spaghetti
286f5227d4.jpg,water
5c3f5246e4.jpg,tomato
1211a14a8b.jpg,espresso-with-caffeine
e1a8c3da78.jpg,salad-leaf-salad-green
76db40e813.jpg,butter
59f7c132ed.jpg,salad-leaf-salad-green
e031944980.jpg,zucchini
44619cd413.jpg,mixed-vegetables
327c693446.jpg,bread-white
78b233356c.jpg,salad-leaf-salad-green
db61780219.jpg,broccoli
9e9ef633fd.jpg,apple
1177da0895.jpg,bread-wholemeal
4af7cdbf50.jpg,banana
a5efaff943.jpg,white-coffee-with-caffeine
e83e32b644.jpg,bread-french-white-flour
498882de73.jpg,salad-leaf-salad-green
9407f87540.jpg,tea-green
d61d768b59.jpg,mixed-vegetables
419fd3133f.jpg,mixed-vegetables
11e477b098.jpg,coffee-with-caffeine
5f0d8ffd92.jpg,pasta-spaghetti
fd56c169a5.jpg,zucchini
a699b20ece.jpg,salmon
336f2328c0.jpg,onion
6d19be3af0.jpg,butter
9ddadb2354.jpg,avocado
a0ad92b815.jpg,dark-chocolate
a21724f9e6.jpg,avocado
e5d90c2afe.jpg,water
948993ce7d.jpg,apple
019d325fac.jpg,onion
650232e4d5.jpg,soft-cheese
4818267003.jpg,wine-red
83be5baab0.jpg,water
5e5942a787.jpg,biscuits
a237d67b55.jpg,salad-leaf-salad-green
8ca7def97c.jpg,rice
abbb4c1f5d.jpg,wine-red
fbce6e373d.jpg,espresso-with-caffeine
fc233bef9f.jpg,espresso-with-caffeine
afb16cc6da.jpg,apple
9aeb73b7de.jpg,mixed-vegetables
f5cc2c6a3c.jpg,banana
94b8f33d39.jpg,bread-wholemeal
6de5de0bda.jpg,pizza-margherita-baked
6ac622ccf7.jpg,egg
b81d1e4fe2.jpg,sweet-pepper
4a97989ec4.jpg,zucchini
c915b0b159.jpg,water
61e5d5b3e1.jpg,salad-leaf-salad-green
e5ee215b76.jpg,ham-raw
c6e9fde04a.jpg,potatoes-steamed
ba225ab890.jpg,water
fd8749620e.jpg,water
0dac8bc1e8.jpg,water
a6f0e9f989.jpg,white-coffee-with-caffeine
cf14f4d60d.jpg,espresso-with-caffeine
0b04505913.jpg,gruyere
f860116c85.jpg,butter
c19467fc57.jpg,bread-wholemeal
252907aa5a.jpg,broccoli
25a658f1e5.jpg,white-coffee-with-caffeine
9359d375d0.jpg,salad-leaf-salad-green
abbfa54027.jpg,parmesan
2af4d03b5e.jpg,coffee-with-caffeine
913bec4a4d.jpg,water
30c6a1d72a.jpg,mixed-nuts
246c56cfc2.jpg,pasta-spaghetti
d8a1facacb.jpg,mixed-salad-chopped-without-sauce
a73a8b8bd3.jpg,sauce-savoury
fce56aa3da.jpg,croissant
53f460bb8e.jpg,egg
6a186fa85b.jpg,banana
3074193de7.jpg,bread-wholemeal
5609999d15.jpg,mandarine
097ba74a9d.jpg,bread-wholemeal
c57ba1c50d.jpg,water
667f61812a.jpg,chips-french-fries
a5207c4045.jpg,hard-cheese
5910a572cf.jpg,cheese
b5ca5471df.jpg,egg
956b1f79cf.jpg,wine-white
89605aecf9.jpg,gruyere
c573276395.jpg,bread-wholemeal
7243b98799.jpg,french-beans
ce65c78358.jpg,coffee-with-caffeine
9c1610e7d0.jpg,avocado
601c61ee33.jpg,salad-leaf-salad-green
9656ee7f9a.jpg,sauce-savoury
ec7b25aa83.jpg,tea
7b59da50bb.jpg,jam
f0f7dd3ae8.jpg,butter
c2460a9ccb.jpg,bread-white
837e40d19f.jpg,bread-white
23ec674df4.jpg,cheese
37169c7bb0.jpg,salad-leaf-salad-green
c0cb0aade0.jpg,espresso-with-caffeine
d4ce20864c.jpg,bread-white
b6c312fef3.jpg,chips-french-fries
7774b8cce1.jpg,egg
79e148e8fd.jpg,bread-white
76cc104ae2.jpg,egg
fb0b3a43b9.jpg,mayonnaise
ac05f62bb4.jpg,salad-leaf-salad-green
8a4e76f705.jpg,espresso-with-caffeine
63085d55cf.jpg,water
a270663d79.jpg,white-coffee-with-caffeine
ace5e82f44.jpg,tea
14ea526570.jpg,onion
f0b4c31c71.jpg,white-coffee-with-caffeine
c250ffc59b.jpg,water
305ab6de75.jpg,bread-white
2f89a3b933.jpg,salad-leaf-salad-green
d9036c2346.jpg,rice
3fb0b8c573.jpg,potatoes-steamed
05183b295a.jpg,butter
85c17e6574.jpg,apple
92bb4e1437.jpg,coffee-with-caffeine
efef89609f.jpg,biscuits
1a9f7ec5a4.jpg,hard-cheese
43d71ca967.jpg,carrot
b7ce3b9418.jpg,pizza-margherita-baked
51cb6b1ae5.jpg,ham-raw
90c1f02989.jpg,wine-red
a0c7baf4b2.jpg,carrot
b452bf4d05.jpg,coffee-with-caffeine
85c622deec.jpg,rice
edecd8eaf3.jpg,salad-leaf-salad-green
5d01c09b1c.jpg,tomato
54c6e9cd0b.jpg,water
b8093c0838.jpg,dark-chocolate
f6c971eedc.jpg,carrot
6eb4171c55.jpg,espresso-with-caffeine
0c0d76d92f.jpg,espresso-with-caffeine
6e2e7a5a88.jpg,coffee-with-caffeine
68a086d9e1.jpg,mixed-vegetables
8bb2225afb.jpg,salad-leaf-salad-green
1bb4bb1834.jpg,tomato-sauce
448c7e265c.jpg,pasta-spaghetti
4c361a8589.jpg,salad-leaf-salad-green
6789f065c4.jpg,water
09ac9ac8fb.jpg,water
008a4ea1f6.jpg,salami
be16db12e0.jpg,coffee-with-caffeine
cfa7f9de9d.jpg,bread-wholemeal
f25516de5e.jpg,water
86908fe0d0.jpg,carrot
4a051b451d.jpg,tomato
1330397a69.jpg,strawberries
140fb50a0f.jpg,onion
32f814cf65.jpg,bread-wholemeal
c14ba0deb0.jpg,mixed-salad-chopped-without-sauce
73479b9318.jpg,mixed-nuts
07eb2ada13.jpg,parmesan
334ae19b06.jpg,wine-red
726bd4234d.jpg,bread-white
90724ca6ff.jpg,potatoes-steamed
e8c1680b3a.jpg,egg
bb2b38572c.jpg,carrot
c54a2ca98b.jpg,chips-french-fries
9a83fe22ab.jpg,rice
99b0f1cd1f.jpg,almonds
543fe9603e.jpg,chips-french-fries
90d8ac634b.jpg,hard-cheese
79786d8d4d.jpg,avocado
b00d9ee785.jpg,mixed-salad-chopped-without-sauce
24904cdbac.jpg,wine-red
a9909daf58.jpg,white-coffee-with-caffeine
ff07cae935.jpg,croissant
7452c582a3.jpg,sweet-pepper
c367ce2073.jpg,mixed-nuts
022db2a477.jpg,honey
034446de53.jpg,coffee-with-caffeine
